"name","artists","album","release_date"
"""Jaanavule (From """"BRO"""")""                        ","""Thaman S                                         ","K. Pranati""                                       ",
"""Solluda Siva (From """"Bedurulanka 2012"""")""        ","""Mani Sharma                                      ","Anurag Kulkarni                                   ",
"""O Rendu Prema Meghaalila (First Love Song) [From ","""Vijai Bulganin                                   ","Sreerama Chandra""                                 ",
"Priya Mithunam (Telugu)                           ","""Ajay-Atul                                        ","Karthik                                           ",
"Sarkaaru Noukari Promotional Song                 ","""Sunitha Upadrasta                                ","Harika Narayan                                    ",
"""Sammohanuda (From """"Rules Ranjann"""")""            ","""Shreya Ghoshal                                   ","Amrish""                                           ",
"""Aakasam Adhire (From """"Ustaad"""")""                ","""Akeeva B                                         ","Kala Bhairava                                     ",
"""Too Close To Fire (From """"Her Chapter 1"""")""      ","""Akanksha Bisht                                   ","Pavan""                                            ",
"Jawan Prevue Theme                                ","""Anirudh Ravichander                              ","Raja Kumari""                                      ",
"""Chukkalonchi (From """"Ustaad"""")""                  ","""Akeeva B                                         ","Karthik""                                          ",
"What To Do                                        ","""Gopi Sundar                                      ","Jassie Gift                                       ",
"Lady Luck                                         ","""Radhan                                           ","Karthik                                           ",
"Hathavidi                                         ","""Dhanush                                          ","Radhan                                            ",
"""Raa Veera (From """"Mahaveerudu"""")""                ","""Gowtham Bharadwaj                                ","Pavithra Chari                                    ",
"Simantha Subhavela                                ","""Sabu Varghese                                    ","Aditi Bhavaraju                                   ",
"""Rajampeta Ranini (From """"Natho Nenu"""")""          ","Geetha Madhuri                                    ","""Rajampeta Ranini (From """"Natho Nenu"""") [Original ","2023-07-13"
"""Nee Kanulalo (From """"Asuragana Rudra"""")""         ","""Siddharth Menon                                  ","Shekar Chandra                                    ",
"Ghost Big Daddy Bgm (TELUGU)                      ","Shivarajkumar                                     ","Ghost Big Daddy Bgm (TELUGU)                      ","2023-07-13"
"""Hidimbha Theme Music (From """"Hidimbha"""")""        ","Vikas Badisa                                      ","""Hidimbha Theme Music (From """"Hidimbha"""")""        ","2023-07-17"
"Yemo Yemaindho                                    ","Nandakishore                                      ","Yemo Yemaindho                                    ","2023-07-15"
"""Adharadha - From """"Mark Antony""""""                ","""G. V. Prakash                                    ","Vishal                                            ",
"""Bhagavanth Kesari Teaser (From """"Bhagavanth Kesar","""Nandamuri Balakrishna                            ","SS Thaman""                                        ",
"Veeruda                                           ","""A.R. Rahman                                      ","A. R. Ameen""                                      ",
"""Harom Hara (From """"Sakshi"""")""                    ","""Maruthi Kodimoju                                 ","Naresh Mamindla                                   ",
"Edhi Em Bathuku                                   ","""Pandu Ranga                                      ","Ravi Raj                                          ",
"Chanti Pillala                                    ","""Vijai Bulganin                                   ","Anudeep Dev""                                      ",
"Pranama Pranama                                   ","""A.R. Rahman                                      ","Vijay Yesudas                                     ",
"""Lalana (From """"LGM (Telugu)"""")""                  ","""Ramesh Thamilmani                                ","Hemachandra Vedala""                               ",
"Holare Hola                                       ","""Gopi Sundar                                      ","J.V. Sudhanshu                                    ",
"""Na Roja Nuvve (From """"Kushi"""")""                  ","""Hesham Abdul Wahab                               ","Shiva Nirvana""                                    ",
"Bholaa Mania                                      ","""Mahati Swara Sagar                               ","L. V. Revanth                                     ",
"Hrudayam Odipoyelaa                               ","""Kala Bhairava                                    ","Sai Sindhuja                                      ",
"""Skanda Teaser Theme (From """"Skanda"""")""           ","Thaman S                                          ","""Skanda Teaser Theme (From """"Skanda"""")""           ","2023-07-10"
"""Dheere Dheere (From """"Her Chapter 1"""")""          ","""Akanksha Bisht                                   ","Pavan                                             ",
"""Evar Nuvvu - From """"Hatya""""""                     ","""Girishh G                                        ","M.S Krsna                                         ",
"""Riba Pappa (From """"Baby"""")""                      ","""Vijai Bulganin                                   ","Sri Krishna""                                      ",
"Rela Rela                                         ","""Charan Arjun                                     ","Mangli""                                           ",
"""Ram Sita Ram (From """"Adipurush"""") [Telugu]""      ","""Sachet-Parampara                                 ","Karthik                                           ",
"Korukunna Swase                                   ","""Sid Sriram                                       ","Manisha Maganti""                                  ",
"""Mana Orilo Evadra Apedhi (From """"Rangabali"""")""   ","""Anurag Kulkarni                                  ","Pawan CH                                          ",
"""Paravasame Paravasame (From """"Narayana & Co"""")""  ","""Anurag Kulkarni                                  ","K. Pranati                                        ",
"""Kala Kantu Unte (From """"'Rangabali"""")""           ","""Sarthak Kalyani                                  ","Vaish                                             ",
"Bangarulokam                                      ","""Sahithi Chaganti                                 ","Balaji""                                           ",
"""Kalallo (From """"Virupaksha"""")""                   ","""B. Ajaneesh Loknath                              ","Anurag Kulkarni                                   ",
"Raa Silaka                                        ","""Kalyani Malik                                    ","Deepu                                             ",
"""Jhoom Jhoom (From """"Spy"""")""                      ","""Anurag Kulkarni                                  ","Ramya Behara                                      ",
"BRO Slokam                                        ","Thaman S                                          ","BRO                                               ","2023-05-25"
